material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,source_doi,source_paper
BeSiP2,WS2,CuI,1.4,1.8,3.1,0.25,0.4,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,WS2,CuSCN,1.4,1.8,3.6,0.25,0.3,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,WS2,NiO,1.4,1.8,3.6,0.25,0.2,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,WS2,V2O5,1.4,1.8,2.2,0.25,0.0,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,TiO2,CuI,1.4,3.4,3.1,0.2,0.4,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,TiO2,CuSCN,1.4,3.4,3.6,0.2,0.3,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,TiO2,NiO,1.4,3.4,3.6,0.2,0.2,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,TiO2,V2O5,1.4,3.4,2.2,0.2,0.0,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,SnO2,CuI,1.4,3.6,3.1,0.3,0.4,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,SnO2,CuSCN,1.4,3.6,3.6,0.3,0.3,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,SnO2,NiO,1.4,3.6,3.6,0.3,0.2,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,SnO2,V2O5,1.4,3.6,2.2,0.3,0.0,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,PCBM,CuI,1.4,2.0,3.1,0.3,0.4,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,PCBM,CuSCN,1.4,2.0,3.6,0.3,0.3,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,PCBM,NiO,1.4,2.0,3.6,0.3,0.2,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
BeSiP2,PCBM,V2O5,1.4,2.0,2.2,0.3,0.0,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1007/s11082-026-08738-y,BeSiP2 SCAPS Tables 1-2 (Tier A)
