material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
Rb2CuAlCl6 (cubic),0.6565,cubic,-1.434919,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAsCl6 (cubic),0.5151,cubic,-1.136378,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiCl6 (cubic),0.7525,cubic,-1.263479,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuSbCl6 (cubic),0.6353,cubic,-1.216858,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlCl6 (cubic),2.8237,cubic,-1.559698,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsCl6 (cubic),0.4084,cubic,-1.236333,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiCl6 (cubic),0.3094,cubic,-1.354622,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaCl6 (cubic),1.6341,cubic,-1.397412,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InInCl6 (cubic),1.4427,cubic,-1.406976,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbCl6 (cubic),0.4219,cubic,-1.308971,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlCl6 (cubic),3.6123,cubic,-1.596525,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsCl6 (cubic),1.1449,cubic,-1.258359,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiCl6 (cubic),1.0286,cubic,-1.383649,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaCl6 (cubic),2.3181,cubic,-1.415137,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInCl6 (cubic),2.3762,cubic,-1.437849,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbCl6 (cubic),1.0419,cubic,-1.335749,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsI6 (cubic),0.2692,cubic,-0.757022,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiI6 (cubic),0.6515,cubic,-0.871213,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbI6 (cubic),0.3495,cubic,-0.829319,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiI6 (cubic),0.2847,cubic,-0.811441,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlI6 (cubic),0.9201,cubic,-0.96886,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsI6 (cubic),0.1046,cubic,-0.831161,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InBiI6 (cubic),0.2804,cubic,-0.933605,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
